k,max_distance,min_prob,known_id_rate,unknown_rejection_rate,known_samples,unknown_samples
1,0.8,0.4,1.0,1.0,9,11
1,0.8,0.5,1.0,1.0,9,11
1,0.8,0.6,1.0,1.0,9,11
1,1.0,0.4,1.0,1.0,9,11
1,1.0,0.5,1.0,1.0,9,11
1,1.0,0.6,1.0,1.0,9,11
1,1.2,0.4,1.0,0.5454545454545454,9,11
1,1.2,0.5,1.0,0.5454545454545454,9,11
1,1.2,0.6,1.0,0.5454545454545454,9,11
3,0.8,0.4,1.0,1.0,9,11
3,0.8,0.5,1.0,1.0,9,11
3,0.8,0.6,1.0,1.0,9,11
3,1.0,0.4,1.0,1.0,9,11
3,1.0,0.5,1.0,1.0,9,11
3,1.0,0.6,1.0,1.0,9,11
3,1.2,0.4,1.0,0.5454545454545454,9,11
3,1.2,0.5,1.0,0.5454545454545454,9,11
3,1.2,0.6,1.0,0.5454545454545454,9,11
5,0.8,0.4,1.0,1.0,9,11
5,0.8,0.5,1.0,1.0,9,11
5,0.8,0.6,1.0,1.0,9,11
5,1.0,0.4,1.0,1.0,9,11
5,1.0,0.5,1.0,1.0,9,11
5,1.0,0.6,1.0,1.0,9,11
5,1.2,0.4,1.0,0.5454545454545454,9,11
5,1.2,0.5,1.0,0.5454545454545454,9,11
5,1.2,0.6,1.0,0.6363636363636364,9,11
